timestamp_ms,label,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
61598897,sitting,-0.0525,-0.0088,-1.0041,0.5600,-2.8000,0.7350
61598916,sitting,-0.0532,-0.0083,-1.0038,0.5600,-2.7300,0.7700
61598935,sitting,-0.0527,-0.0088,-1.0043,0.5600,-2.8000,0.7700
61598954,sitting,-0.0527,-0.0090,-1.0041,0.5600,-2.7300,0.7350
61598974,sitting,-0.0532,-0.0093,-1.0041,0.5600,-2.7650,0.7700
61598993,sitting,-0.0532,-0.0095,-1.0048,0.5600,-2.7650,0.7700
61599012,sitting,-0.0537,-0.0095,-1.0045,0.5600,-2.7300,0.7700
61599031,sitting,-0.0529,-0.0088,-1.0038,0.5600,-2.7650,0.7700
61599051,sitting,-0.0532,-0.0085,-1.0045,0.5950,-2.7650,0.7700
61599070,sitting,-0.0529,-0.0093,-1.0048,0.5600,-2.7650,0.7700
61599089,sitting,-0.0517,-0.0085,-1.0048,0.5600,-2.7300,0.7350
61599108,sitting,-0.0522,-0.0093,-1.0043,0.5600,-2.7650,0.7350
61599128,sitting,-0.0529,-0.0090,-1.0041,0.5600,-2.7300,0.7350
61599147,sitting,-0.0529,-0.0093,-1.0050,0.5600,-2.7650,0.7700
61599166,sitting,-0.0542,-0.0093,-1.0043,0.5950,-2.7650,0.7700
61599185,sitting,-0.0527,-0.0093,-1.0053,0.5600,-2.7650,0.7700
61599204,sitting,-0.0520,-0.0078,-1.0053,0.5600,-2.7650,0.7350
61599224,sitting,-0.0527,-0.0088,-1.0033,0.5600,-2.7300,0.7700
61599243,sitting,-0.0534,-0.0090,-1.0028,0.5250,-2.7650,0.7700
61599262,sitting,-0.0539,-0.0088,-1.0041,0.5600,-2.7650,0.7700
61599281,sitting,-0.0534,-0.0093,-1.0038,0.5600,-2.7650,0.7700
61599301,sitting,-0.0534,-0.0098,-1.0043,0.5600,-2.7650,0.7700
61599320,sitting,-0.0539,-0.0093,-1.0038,0.5600,-2.7650,0.7700
61599339,sitting,-0.0525,-0.0090,-1.0041,0.5600,-2.8000,0.7700
61599358,sitting,-0.0525,-0.0078,-1.0045,0.5600,-2.7650,0.8050
61599378,sitting,-0.0539,-0.0093,-1.0048,0.5600,-2.8000,0.7700
61599397,sitting,-0.0532,-0.0095,-1.0048,0.5950,-2.7300,0.7350
61599416,sitting,-0.0520,-0.0090,-1.0043,0.5950,-2.7300,0.7700
61599435,sitting,-0.0534,-0.0088,-1.0043,0.5600,-2.7300,0.7700
61599454,sitting,-0.0532,-0.0088,-1.0053,0.5600,-2.7300,0.7700
61599474,sitting,-0.0534,-0.0095,-1.0050,0.5600,-2.7650,0.7700
61599493,sitting,-0.0529,-0.0090,-1.0041,0.5600,-2.8000,0.7350
61599512,sitting,-0.0537,-0.0093,-1.0041,0.5600,-2.7300,0.7700
61599531,sitting,-0.0527,-0.0090,-1.0045,0.5250,-2.7300,0.7350
61599551,sitting,-0.0532,-0.0090,-1.0050,0.5600,-2.7300,0.7350
61599570,sitting,-0.0529,-0.0095,-1.0043,0.5600,-2.7650,0.7350
61599589,sitting,-0.0529,-0.0093,-1.0045,0.5600,-2.7300,0.7700
61599608,sitting,-0.0529,-0.0095,-1.0045,0.5250,-2.7650,0.7700
61599628,sitting,-0.0532,-0.0081,-1.0038,0.5600,-2.8000,0.7700
61599647,sitting,-0.0532,-0.0088,-1.0036,0.5600,-2.7650,0.7700
61599666,sitting,-0.0529,-0.0083,-1.0043,0.5600,-2.8000,0.7700
61599685,sitting,-0.0529,-0.0078,-1.0043,0.5600,-2.8000,0.7700
61599704,sitting,-0.0520,-0.0088,-1.0050,0.5600,-2.7650,0.7700
61599724,sitting,-0.0522,-0.0095,-1.0043,0.5600,-2.7650,0.8050
61599743,sitting,-0.0527,-0.0090,-1.0043,0.5600,-2.7650,0.7700
61599762,sitting,-0.0517,-0.0098,-1.0043,0.5600,-2.7300,0.7700
61599781,sitting,-0.0527,-0.0100,-1.0041,0.5600,-2.7650,0.7700
61599801,sitting,-0.0525,-0.0093,-1.0041,0.5600,-2.7300,0.7000
61599820,sitting,-0.0520,-0.0090,-1.0048,0.5600,-2.7300,0.7700
61599839,sitting,-0.0525,-0.0088,-1.0043,0.5600,-2.7650,0.7700
61599858,sitting,-0.0525,-0.0085,-1.0038,0.5250,-2.7300,0.7700
61599878,sitting,-0.0529,-0.0081,-1.0043,0.5600,-2.7300,0.7700
61599897,sitting,-0.0539,-0.0095,-1.0048,0.5950,-2.7300,0.7700
61599916,sitting,-0.0527,-0.0085,-1.0045,0.5600,-2.7300,0.7700
61599935,sitting,-0.0525,-0.0083,-1.0031,0.5600,-2.7300,0.7350
61599954,sitting,-0.0527,-0.0095,-1.0038,0.5950,-2.7650,0.7350
61599974,sitting,-0.0532,-0.0098,-1.0041,0.5600,-2.7300,0.7700
61599993,sitting,-0.0517,-0.0098,-1.0043,0.5600,-2.7650,0.7350
61600012,sitting,-0.0525,-0.0090,-1.0038,0.5600,-2.7650,0.7700
61600031,sitting,-0.0522,-0.0095,-1.0036,0.5600,-2.7650,0.7700
61600051,sitting,-0.0532,-0.0083,-1.0036,0.5600,-2.7300,0.7700
