timestamp_ms,label,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
3050877,sitting,1.0016,0.0120,0.0073,0.5250,-2.7300,0.7700
3050896,sitting,1.0014,0.0122,0.0076,0.4900,-2.6950,0.7700
3050915,sitting,1.0019,0.0120,0.0071,0.4900,-2.7300,0.7700
3050934,sitting,1.0021,0.0127,0.0063,0.4900,-2.7300,0.7700
3050954,sitting,1.0021,0.0122,0.0076,0.5250,-2.7300,0.7700
3050973,sitting,1.0016,0.0115,0.0073,0.4900,-2.6950,0.8050
3050992,sitting,1.0011,0.0115,0.0078,0.4900,-2.7300,0.8050
3051011,sitting,1.0011,0.0117,0.0073,0.4900,-2.7300,0.7700
3051031,sitting,1.0016,0.0124,0.0078,0.4900,-2.7300,0.7700
3051050,sitting,1.0014,0.0117,0.0078,0.4900,-2.7300,0.8050
3051069,sitting,1.0019,0.0122,0.0078,0.4900,-2.7300,0.7700
3051088,sitting,1.0011,0.0120,0.0081,0.4900,-2.7300,0.7700
3051108,sitting,1.0009,0.0129,0.0076,0.4900,-2.7300,0.8400
3051127,sitting,1.0024,0.0122,0.0066,0.4900,-2.7300,0.7700
3051146,sitting,1.0026,0.0127,0.0078,0.4900,-2.7300,0.8050
3051165,sitting,1.0014,0.0120,0.0076,0.4900,-2.7300,0.7700
3051184,sitting,1.0016,0.0124,0.0061,0.4550,-2.7300,0.8050
3051204,sitting,1.0028,0.0124,0.0071,0.4550,-2.7300,0.7700
3051223,sitting,1.0011,0.0120,0.0071,0.4900,-2.7300,0.8400
3051242,sitting,1.0016,0.0122,0.0078,0.4900,-2.7300,0.7700
3051261,sitting,1.0019,0.0124,0.0068,0.4900,-2.7300,0.8050
3051281,sitting,1.0016,0.0117,0.0073,0.4900,-2.7300,0.8400
3051300,sitting,1.0019,0.0117,0.0073,0.4900,-2.7300,0.8050
3051319,sitting,1.0024,0.0117,0.0078,0.4900,-2.7300,0.8400
3051338,sitting,1.0019,0.0105,0.0081,0.4900,-2.7300,0.7700
3051358,sitting,1.0014,0.0120,0.0076,0.4550,-2.7300,0.8050
3051377,sitting,1.0021,0.0110,0.0068,0.5250,-2.6950,0.8050
3051396,sitting,1.0024,0.0120,0.0071,0.4900,-2.7300,0.7700
3051415,sitting,1.0016,0.0117,0.0073,0.4900,-2.7300,0.8400
3051434,sitting,1.0014,0.0120,0.0068,0.4900,-2.7300,0.8400
3051454,sitting,1.0021,0.0122,0.0076,0.4900,-2.7300,0.7700
3051473,sitting,1.0024,0.0124,0.0068,0.4550,-2.7300,0.8400
3051492,sitting,1.0019,0.0122,0.0073,0.4900,-2.7300,0.8050
3051511,sitting,1.0016,0.0120,0.0073,0.4900,-2.7300,0.8400
3051531,sitting,1.0014,0.0112,0.0068,0.4900,-2.7300,0.8400
3051550,sitting,1.0021,0.0105,0.0063,0.4900,-2.7300,0.7700
3051569,sitting,1.0019,0.0110,0.0068,0.4900,-2.7300,0.8050
3051588,sitting,1.0002,0.0124,0.0076,0.5250,-2.6950,0.8400
3051608,sitting,1.0011,0.0112,0.0078,0.4900,-2.6950,0.7700
3051627,sitting,1.0004,0.0117,0.0068,0.4900,-2.7300,0.7700
3051646,sitting,1.0014,0.0117,0.0076,0.4900,-2.7300,0.7700
3051665,sitting,1.0021,0.0117,0.0078,0.4900,-2.6950,0.7700
3051684,sitting,1.0021,0.0122,0.0073,0.5600,-2.7300,0.7700
3051704,sitting,1.0014,0.0115,0.0078,0.5600,-2.7300,0.7700
3051723,sitting,1.0021,0.0120,0.0078,0.4900,-2.7300,0.8050
3051742,sitting,1.0021,0.0115,0.0066,0.4900,-2.7300,0.7700
3051761,sitting,1.0024,0.0117,0.0083,0.4550,-2.7300,0.8050
3051781,sitting,1.0028,0.0117,0.0071,0.4900,-2.7300,0.8050
3051800,sitting,1.0014,0.0124,0.0066,0.4900,-2.7300,0.8050
3051819,sitting,1.0006,0.0120,0.0066,0.4900,-2.7300,0.7700
3051838,sitting,1.0009,0.0112,0.0059,0.4900,-2.7300,0.8400
3051858,sitting,0.9997,0.0129,0.0071,0.5250,-2.6950,0.8050
3051877,sitting,1.0009,0.0129,0.0073,0.4900,-2.7300,0.7700
3051896,sitting,1.0019,0.0120,0.0081,0.4900,-2.7300,0.7700
3051915,sitting,1.0016,0.0124,0.0076,0.4900,-2.7300,0.8050
3051934,sitting,1.0016,0.0122,0.0066,0.4550,-2.7300,0.8400
3051954,sitting,1.0019,0.0112,0.0063,0.4900,-2.7300,0.8400
3051973,sitting,1.0014,0.0117,0.0081,0.4900,-2.7300,0.7700
3051992,sitting,1.0016,0.0115,0.0073,0.4900,-2.7300,0.8400
3052011,sitting,1.0024,0.0112,0.0073,0.4900,-2.7300,0.8400
3052031,sitting,1.0016,0.0120,0.0059,0.4900,-2.7300,0.8400
3052050,sitting,1.0016,0.0110,0.0071,0.4900,-2.7300,0.7700
3052069,sitting,1.0002,0.0117,0.0085,0.4900,-2.7650,0.8050
3052088,sitting,1.0011,0.0122,0.0078,0.4550,-2.7650,0.8050
3052108,sitting,1.0011,0.0117,0.0078,0.4900,-2.7300,0.7700
3052127,sitting,1.0016,0.0124,0.0066,0.4900,-2.7300,0.8050
3052146,sitting,1.0014,0.0122,0.0073,0.5250,-2.7300,0.8400
3052165,sitting,1.0014,0.0127,0.0081,0.4900,-2.7300,0.8050
3052184,sitting,1.0014,0.0112,0.0076,0.4900,-2.7300,0.8050
3052204,sitting,1.0009,0.0122,0.0081,0.4900,-2.7300,0.8400
3052223,sitting,1.0019,0.0120,0.0071,0.4900,-2.6950,0.8400
3052242,sitting,1.0011,0.0115,0.0073,0.4900,-2.7300,0.8050
3052261,sitting,1.0024,0.0112,0.0076,0.5250,-2.7300,0.7700
3052281,sitting,1.0019,0.0112,0.0076,0.5250,-2.7300,0.8050
3052300,sitting,1.0011,0.0112,0.0076,0.5250,-2.7300,0.8050
3052319,sitting,1.0021,0.0120,0.0076,0.5250,-2.7300,0.8400
3052338,sitting,1.0019,0.0127,0.0068,0.4900,-2.7300,0.7700
3052358,sitting,1.0026,0.0115,0.0073,0.4900,-2.7300,0.8050
3052377,sitting,1.0016,0.0129,0.0068,0.4900,-2.7300,0.8050
3052396,sitting,1.0021,0.0117,0.0076,0.4900,-2.7300,0.8400
3052415,sitting,1.0026,0.0127,0.0073,0.4900,-2.7300,0.7700
3052434,sitting,1.0019,0.0127,0.0066,0.5600,-2.7300,0.8400
3052454,sitting,1.0009,0.0127,0.0068,0.5250,-2.7300,0.7700
3052473,sitting,1.0009,0.0120,0.0073,0.4900,-2.7300,0.8050
3052492,sitting,1.0011,0.0115,0.0063,0.4900,-2.7300,0.7700
3052511,sitting,1.0009,0.0120,0.0078,0.4900,-2.6950,0.7700
3052531,sitting,1.0019,0.0122,0.0081,0.4900,-2.7300,0.7700
3052550,sitting,1.0016,0.0117,0.0073,0.4900,-2.7300,0.8050
3052569,sitting,1.0021,0.0117,0.0073,0.4900,-2.7300,0.7700
3052588,sitting,1.0016,0.0117,0.0066,0.4900,-2.7300,0.7700
3052608,sitting,1.0016,0.0122,0.0068,0.4900,-2.7300,0.8050
3052627,sitting,1.0016,0.0127,0.0061,0.4900,-2.7300,0.8050
3052646,sitting,1.0006,0.0120,0.0073,0.4550,-2.7300,0.8050
3052665,sitting,1.0021,0.0124,0.0073,0.5250,-2.7300,0.8050
3052684,sitting,1.0024,0.0117,0.0081,0.4900,-2.7300,0.8050
3052704,sitting,1.0016,0.0117,0.0076,0.4900,-2.7300,0.8050
3052723,sitting,1.0016,0.0115,0.0073,0.4900,-2.7300,0.7700
3052742,sitting,1.0014,0.0122,0.0081,0.5250,-2.7300,0.8050
3052761,sitting,1.0019,0.0117,0.0081,0.4550,-2.7300,0.8400
3052781,sitting,1.0019,0.0122,0.0073,0.4900,-2.7300,0.8050
