timestamp_ms,label,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
3531531,sitting,0.0156,-0.9982,0.0076,0.4900,-2.7300,0.7700
3531550,sitting,0.0149,-0.9982,0.0081,0.4550,-2.7300,0.8400
3531569,sitting,0.0146,-0.9989,0.0061,0.4550,-2.7300,0.8050
3531588,sitting,0.0142,-0.9999,0.0051,0.4900,-2.7300,0.8400
3531608,sitting,0.0151,-0.9984,0.0063,0.4900,-2.7300,0.8400
3531627,sitting,0.0151,-0.9992,0.0068,0.4900,-2.7300,0.7700
3531646,sitting,0.0159,-0.9984,0.0068,0.4550,-2.7300,0.7700
3531665,sitting,0.0151,-0.9984,0.0059,0.4900,-2.7300,0.8400
3531685,sitting,0.0146,-0.9987,0.0066,0.4900,-2.6950,0.8400
3531704,sitting,0.0137,-0.9992,0.0063,0.4900,-2.7300,0.8050
3531723,sitting,0.0139,-0.9987,0.0066,0.4900,-2.7300,0.8400
3531742,sitting,0.0151,-0.9977,0.0068,0.4900,-2.7300,0.7700
3531762,sitting,0.0151,-0.9980,0.0081,0.5250,-2.6950,0.8050
3531781,sitting,0.0156,-0.9984,0.0078,0.4900,-2.7300,0.8050
3531800,sitting,0.0159,-0.9984,0.0066,0.4900,-2.7300,0.8400
3531819,sitting,0.0137,-0.9980,0.0061,0.4900,-2.7300,0.8050
3531838,sitting,0.0134,-0.9982,0.0056,0.4900,-2.7300,0.8400
3531858,sitting,0.0146,-0.9982,0.0063,0.4900,-2.7300,0.7700
3531877,sitting,0.0154,-0.9987,0.0071,0.4550,-2.7300,0.7700
3531896,sitting,0.0142,-0.9984,0.0063,0.4900,-2.7300,0.7700
3531915,sitting,0.0144,-0.9987,0.0056,0.4900,-2.7300,0.8050
3531935,sitting,0.0142,-0.9987,0.0071,0.4900,-2.7300,0.8050
3531954,sitting,0.0144,-0.9984,0.0066,0.4900,-2.7650,0.7700
3531973,sitting,0.0149,-0.9982,0.0066,0.5250,-2.6950,0.7700
3531992,sitting,0.0156,-0.9987,0.0066,0.5250,-2.7300,0.8050
3532012,sitting,0.0156,-0.9992,0.0063,0.4900,-2.7300,0.7700
3532031,sitting,0.0142,-0.9987,0.0059,0.4900,-2.7300,0.7700
3532050,sitting,0.0139,-0.9982,0.0059,0.4900,-2.7300,0.7700
3532069,sitting,0.0142,-0.9987,0.0051,0.4900,-2.7300,0.7700
3532088,sitting,0.0144,-0.9987,0.0063,0.4900,-2.7300,0.8050
3532108,sitting,0.0146,-0.9984,0.0076,0.4900,-2.7300,0.8050
3532127,sitting,0.0149,-0.9989,0.0078,0.4900,-2.7300,0.8050
3532146,sitting,0.0151,-0.9975,0.0068,0.4900,-2.7650,0.8050
3532165,sitting,0.0144,-0.9982,0.0066,0.4900,-2.7300,0.8050
3532185,sitting,0.0144,-0.9987,0.0059,0.4200,-2.7300,0.7700
3532204,sitting,0.0146,-0.9989,0.0068,0.4900,-2.7300,0.7700
3532223,sitting,0.0154,-0.9982,0.0063,0.4900,-2.7300,0.7700
3532242,sitting,0.0156,-0.9984,0.0066,0.5250,-2.7650,0.8400
3532262,sitting,0.0137,-0.9984,0.0071,0.4900,-2.7300,0.8400
3532281,sitting,0.0134,-0.9992,0.0068,0.4900,-2.7300,0.8050
3532300,sitting,0.0154,-0.9994,0.0063,0.4900,-2.7300,0.8050
3532319,sitting,0.0149,-0.9994,0.0059,0.4900,-2.7300,0.7700
3532338,sitting,0.0151,-0.9997,0.0068,0.4550,-2.6950,0.8050
3532358,sitting,0.0159,-0.9987,0.0068,0.4900,-2.7300,0.8050
3532377,sitting,0.0139,-0.9994,0.0063,0.4900,-2.6950,0.8050
3532396,sitting,0.0134,-0.9980,0.0063,0.4900,-2.6950,0.8050
3532415,sitting,0.0149,-0.9982,0.0056,0.4900,-2.7300,0.8400
3532435,sitting,0.0154,-0.9989,0.0059,0.4900,-2.7300,0.7700
3532454,sitting,0.0156,-0.9987,0.0063,0.4900,-2.7300,0.8050
3532473,sitting,0.0159,-0.9992,0.0056,0.5250,-2.6950,0.7700
3532492,sitting,0.0149,-0.9977,0.0063,0.4900,-2.7300,0.7700
3532512,sitting,0.0144,-0.9987,0.0066,0.4550,-2.7300,0.8050
3532531,sitting,0.0144,-0.9970,0.0071,0.4900,-2.6950,0.8050
3532550,sitting,0.0161,-0.9975,0.0073,0.4900,-2.7300,0.8050
3532569,sitting,0.0151,-0.9987,0.0068,0.4900,-2.6950,0.8050
3532588,sitting,0.0151,-0.9987,0.0071,0.4900,-2.7300,0.7700
3532608,sitting,0.0156,-0.9984,0.0061,0.4900,-2.7300,0.7700
3532627,sitting,0.0144,-0.9980,0.0059,0.4900,-2.7300,0.7700
3532646,sitting,0.0139,-0.9989,0.0066,0.4900,-2.7300,0.8050
3532665,sitting,0.0144,-0.9992,0.0071,0.5250,-2.7300,0.7700
3532685,sitting,0.0151,-0.9992,0.0066,0.4900,-2.7300,0.7700
3532704,sitting,0.0151,-0.9984,0.0066,0.4900,-2.7300,0.7700
3532723,sitting,0.0142,-0.9989,0.0063,0.4900,-2.7300,0.8050
