timestamp_ms,label,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
61377987,sitting,-0.0163,0.0386,-0.9667,0.8750,-3.5700,-0.0700
61378006,sitting,-0.0163,0.0383,-0.9670,0.8400,-3.5000,-0.1400
61378025,sitting,-0.0159,0.0400,-0.9662,0.8400,-3.5350,-0.0700
61378044,sitting,-0.0163,0.0390,-0.9655,0.8400,-3.5350,-0.1050
61378064,sitting,-0.0168,0.0388,-0.9660,0.8400,-3.5700,-0.1400
61378083,sitting,-0.0163,0.0388,-0.9675,0.8400,-3.5000,-0.1050
61378102,sitting,-0.0166,0.0407,-0.9660,0.8400,-3.5350,-0.0700
61378121,sitting,-0.0163,0.0395,-0.9662,0.8400,-3.5000,-0.0700
61378141,sitting,-0.0161,0.0398,-0.9662,0.8050,-3.5000,-0.1050
61378160,sitting,-0.0159,0.0395,-0.9675,0.8400,-3.5350,-0.0700
61378179,sitting,-0.0163,0.0395,-0.9677,0.8400,-3.5350,-0.0700
61378198,sitting,-0.0151,0.0395,-0.9675,0.8400,-3.5000,-0.0700
61378218,sitting,-0.0159,0.0393,-0.9677,0.8750,-3.5350,-0.0700
61378237,sitting,-0.0163,0.0390,-0.9667,0.8400,-3.5700,-0.0700
61378256,sitting,-0.0166,0.0395,-0.9675,0.8750,-3.5000,-0.0700
61378275,sitting,-0.0159,0.0383,-0.9670,0.8400,-3.5000,-0.1050
61378294,sitting,-0.0161,0.0393,-0.9665,0.8400,-3.5700,-0.0350
61378314,sitting,-0.0161,0.0398,-0.9662,0.8400,-3.5700,-0.1400
61378333,sitting,-0.0154,0.0393,-0.9670,0.8400,-3.5000,-0.0700
61378352,sitting,-0.0154,0.0388,-0.9672,0.8400,-3.5350,-0.0700
61378371,sitting,-0.0161,0.0398,-0.9675,0.8400,-3.5350,-0.0700
61378391,sitting,-0.0163,0.0395,-0.9662,0.8050,-3.5350,-0.1400
61378410,sitting,-0.0166,0.0400,-0.9672,0.8400,-3.5700,-0.0700
61378429,sitting,-0.0159,0.0395,-0.9672,0.8400,-3.5700,-0.0700
61378448,sitting,-0.0163,0.0398,-0.9667,0.8400,-3.5000,-0.0700
61378468,sitting,-0.0163,0.0383,-0.9679,0.8400,-3.5350,-0.0700
61378487,sitting,-0.0163,0.0386,-0.9672,0.8750,-3.5700,-0.1400
61378506,sitting,-0.0161,0.0390,-0.9655,0.8400,-3.5000,-0.0700
61378525,sitting,-0.0154,0.0393,-0.9665,0.8400,-3.4650,-0.1050
61378544,sitting,-0.0166,0.0393,-0.9665,0.8750,-3.5350,-0.1050
61378564,sitting,-0.0159,0.0395,-0.9660,0.8400,-3.5350,-0.0700
61378583,sitting,-0.0163,0.0400,-0.9655,0.8750,-3.5000,-0.1050
61378602,sitting,-0.0171,0.0390,-0.9677,0.8400,-3.5350,-0.1400
61378621,sitting,-0.0168,0.0388,-0.9667,0.8750,-3.5350,-0.0700
61378641,sitting,-0.0159,0.0400,-0.9677,0.7700,-3.5000,-0.0700
61378660,sitting,-0.0161,0.0393,-0.9672,0.8750,-3.5700,-0.0700
61378679,sitting,-0.0156,0.0398,-0.9675,0.8750,-3.5700,-0.0700
61378698,sitting,-0.0171,0.0393,-0.9670,0.8400,-3.5000,-0.1050
61378718,sitting,-0.0156,0.0388,-0.9667,0.8400,-3.5000,-0.0350
61378737,sitting,-0.0144,0.0386,-0.9665,0.8400,-3.5000,-0.0700
61378756,sitting,-0.0161,0.0386,-0.9665,0.8400,-3.5350,-0.1050
61378775,sitting,-0.0156,0.0383,-0.9670,0.8400,-3.5700,-0.0700
61378794,sitting,-0.0159,0.0393,-0.9667,0.8400,-3.5700,-0.0700
61378814,sitting,-0.0161,0.0395,-0.9670,0.8400,-3.5000,-0.0700
61378833,sitting,-0.0159,0.0390,-0.9677,0.8750,-3.5350,-0.0700
61378852,sitting,-0.0161,0.0390,-0.9667,0.9100,-3.5350,-0.0700
61378871,sitting,-0.0161,0.0393,-0.9662,0.8400,-3.5350,-0.0700
61378891,sitting,-0.0168,0.0395,-0.9665,0.8750,-3.5350,-0.1050
61378910,sitting,-0.0173,0.0393,-0.9672,0.8400,-3.5350,-0.0700
61378929,sitting,-0.0168,0.0395,-0.9662,0.8050,-3.5000,-0.0700
61378948,sitting,-0.0163,0.0393,-0.9665,0.8400,-3.5000,-0.1050
61378968,sitting,-0.0159,0.0398,-0.9658,0.8750,-3.5700,-0.0700
61378987,sitting,-0.0161,0.0398,-0.9675,0.8400,-3.5700,-0.0700
61379006,sitting,-0.0159,0.0393,-0.9672,0.7700,-3.4650,-0.1400
61379025,sitting,-0.0168,0.0393,-0.9667,0.8400,-3.5350,-0.0700
61379044,sitting,-0.0154,0.0390,-0.9667,0.8750,-3.5700,-0.0700
61379064,sitting,-0.0161,0.0395,-0.9667,0.8400,-3.5350,-0.0700
61379083,sitting,-0.0166,0.0390,-0.9675,0.8400,-3.5000,-0.0700
61379102,sitting,-0.0154,0.0390,-0.9670,0.8400,-3.5350,-0.0700
61379121,sitting,-0.0159,0.0398,-0.9660,0.8400,-3.5000,-0.0700
61379141,sitting,-0.0163,0.0390,-0.9667,0.8400,-3.5700,-0.0700
61379160,sitting,-0.0168,0.0398,-0.9665,0.8400,-3.5350,-0.1050
61379179,sitting,-0.0166,0.0395,-0.9670,0.8750,-3.5350,-0.0700
61379198,sitting,-0.0156,0.0390,-0.9662,0.8400,-3.4650,-0.1400
61379218,sitting,-0.0163,0.0390,-0.9675,0.8400,-3.5350,-0.0700
61379237,sitting,-0.0171,0.0395,-0.9667,0.8400,-3.5700,-0.1050
61379256,sitting,-0.0163,0.0403,-0.9672,0.8400,-3.5350,-0.1050
61379275,sitting,-0.0168,0.0393,-0.9660,0.8750,-3.5350,-0.0700
61379294,sitting,-0.0159,0.0386,-0.9670,0.8400,-3.5000,-0.1050
61379314,sitting,-0.0156,0.0388,-0.9675,0.8400,-3.4650,-0.0700
61379333,sitting,-0.0173,0.0393,-0.9660,0.9100,-3.5350,-0.0700
61379352,sitting,-0.0154,0.0395,-0.9658,0.9100,-3.5350,-0.0700
61379371,sitting,-0.0161,0.0388,-0.9667,0.8400,-3.5000,-0.0700
61379391,sitting,-0.0156,0.0393,-0.9670,0.8400,-3.5000,-0.1050
61379410,sitting,-0.0154,0.0386,-0.9677,0.8400,-3.5000,-0.0700
61379429,sitting,-0.0161,0.0393,-0.9672,0.8750,-3.5000,-0.1400
61379448,sitting,-0.0156,0.0403,-0.9667,0.8400,-3.5350,-0.0700
61379468,sitting,-0.0159,0.0393,-0.9670,0.9100,-3.5700,-0.0700
61379487,sitting,-0.0178,0.0388,-0.9662,0.8400,-3.5350,-0.1400
61379506,sitting,-0.0166,0.0388,-0.9665,0.8400,-3.5000,-0.1050
61379525,sitting,-0.0163,0.0400,-0.9672,0.8400,-3.5000,-0.1050
61379544,sitting,-0.0161,0.0398,-0.9665,0.8050,-3.5000,-0.1400
61379564,sitting,-0.0163,0.0393,-0.9667,0.8400,-3.5350,-0.0700
61379583,sitting,-0.0161,0.0378,-0.9667,0.8400,-3.5350,-0.0700
61379602,sitting,-0.0163,0.0388,-0.9682,0.8050,-3.5000,-0.1050
61379621,sitting,-0.0178,0.0393,-0.9662,0.8050,-3.5000,-0.1050
61379641,sitting,-0.0163,0.0398,-0.9670,0.8400,-3.5700,-0.1400
61379660,sitting,-0.0168,0.0393,-0.9682,0.8050,-3.5700,-0.1050
61379679,sitting,-0.0163,0.0398,-0.9675,0.8400,-3.5350,-0.0700
61379698,sitting,-0.0168,0.0386,-0.9670,0.8750,-3.5700,-0.1050
61379718,sitting,-0.0163,0.0393,-0.9665,0.8400,-3.5350,-0.1050
61379737,sitting,-0.0161,0.0403,-0.9660,0.8050,-3.4650,-0.1050
61379756,sitting,-0.0161,0.0395,-0.9672,0.7700,-3.5000,-0.0700
61379775,sitting,-0.0156,0.0390,-0.9662,0.8400,-3.5700,-0.1400
61379794,sitting,-0.0159,0.0388,-0.9658,0.8050,-3.5000,-0.0700
61379814,sitting,-0.0161,0.0386,-0.9658,0.8400,-3.5700,-0.1050
61379833,sitting,-0.0163,0.0393,-0.9670,0.8400,-3.5700,-0.0700
61379852,sitting,-0.0156,0.0390,-0.9662,0.8400,-3.5350,-0.0700
61379871,sitting,-0.0161,0.0398,-0.9667,0.8400,-3.5000,-0.0700
61379891,sitting,-0.0161,0.0400,-0.9677,0.8400,-3.5000,-0.1050
61379910,sitting,-0.0161,0.0393,-0.9660,0.8750,-3.5350,-0.0700
61379929,sitting,-0.0161,0.0393,-0.9665,0.8400,-3.5000,-0.0700
61379948,sitting,-0.0163,0.0386,-0.9667,0.9450,-3.5000,-0.0700
61379968,sitting,-0.0156,0.0395,-0.9667,0.8400,-3.5350,-0.1400
61379987,sitting,-0.0171,0.0393,-0.9670,0.8400,-3.5000,-0.1050
61380006,sitting,-0.0173,0.0386,-0.9665,0.8750,-3.5350,-0.0700
61380025,sitting,-0.0168,0.0390,-0.9665,0.8400,-3.5000,-0.0700
61380044,sitting,-0.0166,0.0398,-0.9675,0.8750,-3.5000,-0.0700
61380064,sitting,-0.0159,0.0393,-0.9670,0.8750,-3.5700,-0.1050
61380083,sitting,-0.0166,0.0393,-0.9675,0.8400,-3.5350,-0.0350
61380102,sitting,-0.0161,0.0390,-0.9660,0.8400,-3.5000,-0.1400
61380121,sitting,-0.0163,0.0390,-0.9662,0.8400,-3.5350,-0.0700
61380141,sitting,-0.0163,0.0390,-0.9662,0.8400,-3.5700,-0.1050
61380160,sitting,-0.0163,0.0398,-0.9672,0.8400,-3.5350,-0.0700
61380179,sitting,-0.0161,0.0390,-0.9665,0.8050,-3.5350,-0.0350
61380198,sitting,-0.0156,0.0386,-0.9665,0.8750,-3.5000,-0.0700
61380218,sitting,-0.0151,0.0398,-0.9677,0.8750,-3.5000,-0.0700
61380237,sitting,-0.0161,0.0395,-0.9672,0.7700,-3.4650,-0.0700
61380256,sitting,-0.0161,0.0393,-0.9660,0.8750,-3.5700,-0.0700
61380275,sitting,-0.0163,0.0393,-0.9667,0.8400,-3.5350,-0.0700
61380294,sitting,-0.0168,0.0393,-0.9658,0.8400,-3.5350,-0.0350
61380314,sitting,-0.0173,0.0405,-0.9665,0.8400,-3.5350,-0.0700
61380333,sitting,-0.0156,0.0400,-0.9667,0.8750,-3.5350,-0.0700
61380352,sitting,-0.0168,0.0395,-0.9665,0.8400,-3.5000,-0.1400
61380371,sitting,-0.0161,0.0395,-0.9665,0.8400,-3.5350,-0.1050
61380391,sitting,-0.0161,0.0395,-0.9665,0.8750,-3.5000,-0.0700
61380410,sitting,-0.0161,0.0388,-0.9667,0.8400,-3.4650,-0.1050
61380429,sitting,-0.0168,0.0388,-0.9670,0.8400,-3.5350,-0.1050
61380448,sitting,-0.0171,0.0405,-0.9662,0.8750,-3.6050,-0.0700
61380468,sitting,-0.0168,0.0393,-0.9662,0.8400,-3.5350,-0.0700
61380487,sitting,-0.0166,0.0388,-0.9658,0.7700,-3.5000,-0.1050
61380506,sitting,-0.0161,0.0395,-0.9667,0.9100,-3.5350,-0.0700
61380525,sitting,-0.0178,0.0398,-0.9667,0.8050,-3.5700,-0.0700
61380544,sitting,-0.0163,0.0390,-0.9675,0.8050,-3.4650,-0.1400
61380564,sitting,-0.0163,0.0388,-0.9667,0.8400,-3.5350,-0.0700
61380583,sitting,-0.0168,0.0398,-0.9665,0.8750,-3.5000,-0.0700
61380602,sitting,-0.0173,0.0403,-0.9672,0.8050,-3.4650,-0.0700
61380621,sitting,-0.0171,0.0398,-0.9672,0.8750,-3.5350,-0.0700
61380641,sitting,-0.0161,0.0393,-0.9660,0.8750,-3.5350,-0.0350
61380660,sitting,-0.0156,0.0395,-0.9665,0.8400,-3.5000,-0.1050
61380679,sitting,-0.0161,0.0395,-0.9662,0.8400,-3.5000,-0.1050
61380698,sitting,-0.0156,0.0386,-0.9655,0.8400,-3.5350,-0.0700
61380718,sitting,-0.0156,0.0390,-0.9662,0.8400,-3.5350,-0.0700
61380737,sitting,-0.0168,0.0388,-0.9670,0.8750,-3.5000,-0.1400
61380756,sitting,-0.0161,0.0393,-0.9675,0.8400,-3.5350,-0.1400
61380775,sitting,-0.0161,0.0400,-0.9665,0.8750,-3.5000,-0.0700
61380794,sitting,-0.0159,0.0398,-0.9670,0.8050,-3.5000,-0.1400
61380814,sitting,-0.0156,0.0393,-0.9665,0.8400,-3.5350,-0.0700
61380833,sitting,-0.0176,0.0393,-0.9662,0.8400,-3.5350,-0.1050
61380852,sitting,-0.0163,0.0395,-0.9658,0.8400,-3.5700,-0.0700
61380871,sitting,-0.0163,0.0390,-0.9672,0.8400,-3.5350,-0.0700
61380891,sitting,-0.0154,0.0386,-0.9658,0.8400,-3.5000,-0.0700
61380910,sitting,-0.0163,0.0393,-0.9670,0.8750,-3.5000,-0.0700
61380929,sitting,-0.0161,0.0390,-0.9655,0.8400,-3.5350,-0.1050
61380948,sitting,-0.0173,0.0398,-0.9665,0.8400,-3.5350,-0.1050
61380968,sitting,-0.0168,0.0390,-0.9662,0.8750,-3.5000,-0.0700
61380987,sitting,-0.0161,0.0398,-0.9667,0.8750,-3.5350,-0.0700
61381006,sitting,-0.0159,0.0400,-0.9665,0.8400,-3.5350,-0.0700
61381025,sitting,-0.0163,0.0395,-0.9662,0.7700,-3.4650,-0.0700
61381044,sitting,-0.0171,0.0398,-0.9658,0.8400,-3.5000,-0.0700
61381064,sitting,-0.0171,0.0395,-0.9667,0.8400,-3.5350,-0.0700
61381083,sitting,-0.0171,0.0398,-0.9662,0.8050,-3.4650,-0.0700
61381102,sitting,-0.0166,0.0393,-0.9662,0.8400,-3.5000,-0.1050
61381121,sitting,-0.0171,0.0386,-0.9665,0.8750,-3.5700,-0.1050
61381141,sitting,-0.0176,0.0393,-0.9655,0.8750,-3.5700,-0.0700
61381160,sitting,-0.0159,0.0400,-0.9655,0.8400,-3.5350,-0.0700
61381179,sitting,-0.0161,0.0390,-0.9667,0.8750,-3.5700,-0.1400
61381198,sitting,-0.0168,0.0393,-0.9670,0.8400,-3.5350,-0.0700
61381218,sitting,-0.0154,0.0386,-0.9672,0.8400,-3.5000,-0.1050
61381237,sitting,-0.0166,0.0400,-0.9662,0.8400,-3.5700,-0.0700
61381256,sitting,-0.0161,0.0388,-0.9660,0.8400,-3.5350,-0.0700
61381275,sitting,-0.0161,0.0398,-0.9653,0.8400,-3.5000,-0.0700
