timestamp_ms,label,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
61864271,sitting,0.0215,1.0177,0.0744,0.8750,-3.5700,-0.0700
61864290,sitting,0.0212,1.0170,0.0744,0.8750,-3.5350,-0.0350
61864309,sitting,0.0210,1.0177,0.0744,0.8400,-3.5700,-0.0700
61864328,sitting,0.0205,1.0177,0.0737,0.8400,-3.5350,-0.0350
61864348,sitting,0.0210,1.0177,0.0739,0.8400,-3.5700,-0.0700
61864367,sitting,0.0205,1.0185,0.0749,0.8050,-3.5000,-0.1050
61864386,sitting,0.0215,1.0182,0.0737,0.8400,-3.4650,-0.1050
61864405,sitting,0.0205,1.0182,0.0737,0.8750,-3.5700,-0.1050
61864425,sitting,0.0205,1.0175,0.0739,0.8400,-3.4650,-0.0700
61864444,sitting,0.0207,1.0182,0.0739,0.8400,-3.5000,-0.0700
61864463,sitting,0.0207,1.0182,0.0742,0.8400,-3.5000,-0.0700
61864482,sitting,0.0220,1.0177,0.0739,0.8400,-3.5350,-0.0700
61864502,sitting,0.0210,1.0187,0.0737,0.8050,-3.5700,-0.0350
61864521,sitting,0.0215,1.0185,0.0739,0.8400,-3.5350,-0.1050
61864540,sitting,0.0215,1.0177,0.0730,0.8400,-3.5350,-0.0350
61864559,sitting,0.0203,1.0187,0.0749,0.8400,-3.4650,-0.0350
61864578,sitting,0.0203,1.0185,0.0747,0.8750,-3.5000,-0.0700
61864598,sitting,0.0207,1.0172,0.0737,0.8400,-3.5350,-0.0700
61864617,sitting,0.0210,1.0185,0.0742,0.8400,-3.5700,-0.0700
61864636,sitting,0.0210,1.0180,0.0742,0.8750,-3.5000,-0.0700
61864655,sitting,0.0217,1.0185,0.0742,0.8400,-3.5700,-0.0700
61864675,sitting,0.0205,1.0187,0.0734,0.8400,-3.5350,-0.0700
61864694,sitting,0.0207,1.0177,0.0747,0.7700,-3.5700,-0.1050
61864713,sitting,0.0210,1.0182,0.0739,0.8400,-3.5350,-0.0700
61864732,sitting,0.0217,1.0175,0.0744,0.8400,-3.5700,-0.0350
61864752,sitting,0.0200,1.0172,0.0742,0.8400,-3.5350,-0.0700
61864771,sitting,0.0200,1.0182,0.0739,0.8750,-3.5000,-0.0700
61864790,sitting,0.0210,1.0172,0.0742,0.8400,-3.5000,-0.0700
61864809,sitting,0.0205,1.0187,0.0737,0.8400,-3.5700,-0.0350
61864828,sitting,0.0205,1.0182,0.0742,0.7700,-3.5000,-0.0700
61864848,sitting,0.0215,1.0180,0.0742,0.8750,-3.5000,-0.1050
61864867,sitting,0.0207,1.0170,0.0742,0.8750,-3.5350,-0.0700
61864886,sitting,0.0212,1.0180,0.0739,0.8400,-3.5700,-0.0700
61864905,sitting,0.0203,1.0185,0.0742,0.8400,-3.5350,-0.0700
61864925,sitting,0.0210,1.0177,0.0739,0.8400,-3.5700,-0.1050
61864944,sitting,0.0210,1.0177,0.0754,0.8400,-3.5350,-0.0700
61864963,sitting,0.0207,1.0172,0.0739,0.8400,-3.5700,-0.0350
61864982,sitting,0.0205,1.0182,0.0744,0.8400,-3.5700,-0.0700
61865002,sitting,0.0210,1.0182,0.0739,0.8400,-3.5350,-0.1050
61865021,sitting,0.0222,1.0187,0.0744,0.8400,-3.5350,-0.0700
61865040,sitting,0.0217,1.0182,0.0749,0.8750,-3.6050,-0.0700
61865059,sitting,0.0212,1.0177,0.0739,0.8750,-3.5350,-0.0700
61865078,sitting,0.0207,1.0172,0.0742,0.8400,-3.5000,-0.0350
61865098,sitting,0.0212,1.0172,0.0749,0.8400,-3.5350,-0.0700
61865117,sitting,0.0203,1.0182,0.0754,0.8750,-3.5700,-0.0700
61865136,sitting,0.0203,1.0172,0.0744,0.8050,-3.5000,-0.0700
61865155,sitting,0.0215,1.0167,0.0737,0.8400,-3.5350,-0.0350
61865175,sitting,0.0215,1.0172,0.0742,0.8750,-3.6050,-0.0700
61865194,sitting,0.0210,1.0175,0.0739,0.8400,-3.5000,-0.0700
61865213,sitting,0.0215,1.0175,0.0734,0.7700,-3.5000,-0.0700
61865232,sitting,0.0207,1.0177,0.0737,0.8400,-3.5350,-0.0700
61865252,sitting,0.0210,1.0187,0.0747,0.8750,-3.5350,-0.0700
61865271,sitting,0.0205,1.0187,0.0749,0.8400,-3.5700,-0.0700
61865290,sitting,0.0210,1.0175,0.0754,0.9100,-3.5700,0.0000
61865309,sitting,0.0207,1.0180,0.0749,0.8750,-3.5350,-0.0350
61865328,sitting,0.0212,1.0177,0.0737,0.8400,-3.5350,-0.0700
61865348,sitting,0.0210,1.0177,0.0744,0.8400,-3.5700,-0.0700
61865367,sitting,0.0198,1.0180,0.0730,0.8750,-3.5700,-0.0700
61865386,sitting,0.0207,1.0172,0.0737,0.8400,-3.5350,-0.0700
61865405,sitting,0.0203,1.0185,0.0739,0.8750,-3.5000,-0.0700
61865425,sitting,0.0210,1.0192,0.0742,0.8400,-3.5350,-0.0700
61865444,sitting,0.0212,1.0180,0.0744,0.9100,-3.5700,-0.0700
61865463,sitting,0.0210,1.0180,0.0752,0.8400,-3.5700,-0.0700
61865482,sitting,0.0212,1.0180,0.0747,0.8750,-3.5700,-0.0350
61865502,sitting,0.0198,1.0177,0.0749,0.8400,-3.5000,-0.0700
61865521,sitting,0.0207,1.0177,0.0739,0.8400,-3.5000,-0.0700
61865540,sitting,0.0210,1.0175,0.0744,0.8400,-3.5700,-0.0700
61865559,sitting,0.0198,1.0180,0.0739,0.8750,-3.5350,-0.0700
61865578,sitting,0.0205,1.0175,0.0749,0.8400,-3.5000,-0.0700
61865598,sitting,0.0205,1.0185,0.0744,0.8750,-3.5700,-0.0700
61865617,sitting,0.0200,1.0187,0.0747,0.8400,-3.5700,-0.0700
61865636,sitting,0.0205,1.0185,0.0747,0.8400,-3.5350,-0.1050
61865655,sitting,0.0198,1.0177,0.0749,0.8750,-3.5350,-0.0700
61865675,sitting,0.0212,1.0180,0.0749,0.8750,-3.5350,-0.0700
61865694,sitting,0.0203,1.0187,0.0747,0.8750,-3.5000,-0.0700
61865713,sitting,0.0205,1.0182,0.0734,0.8750,-3.5000,-0.0350
61865732,sitting,0.0210,1.0187,0.0737,0.8400,-3.5350,-0.0700
61865752,sitting,0.0205,1.0170,0.0732,0.8050,-3.5700,-0.0700
61865771,sitting,0.0217,1.0180,0.0744,0.8750,-3.5350,-0.0700
61865790,sitting,0.0205,1.0177,0.0737,0.8750,-3.5700,-0.0700
61865809,sitting,0.0217,1.0189,0.0754,0.9100,-3.5700,-0.0700
61865828,sitting,0.0215,1.0177,0.0744,0.9100,-3.5350,-0.0350
61865848,sitting,0.0205,1.0172,0.0744,0.8400,-3.5000,-0.0350
61865867,sitting,0.0210,1.0180,0.0744,0.8400,-3.5700,-0.0700
61865886,sitting,0.0205,1.0187,0.0749,0.8750,-3.5000,-0.0350
61865905,sitting,0.0207,1.0180,0.0756,0.8400,-3.5000,-0.0700
61865925,sitting,0.0203,1.0175,0.0734,0.8400,-3.5000,-0.1050
61865944,sitting,0.0210,1.0177,0.0734,0.8400,-3.5350,-0.0700
61865963,sitting,0.0210,1.0182,0.0749,0.8050,-3.5000,-0.0700
61865982,sitting,0.0207,1.0180,0.0747,0.8400,-3.5700,-0.1050
61866002,sitting,0.0203,1.0175,0.0752,0.8400,-3.5000,-0.0700
61866021,sitting,0.0203,1.0172,0.0742,0.8050,-3.5000,-0.1050
61866040,sitting,0.0203,1.0167,0.0734,0.8750,-3.5350,-0.0700
61866059,sitting,0.0217,1.0175,0.0739,0.8750,-3.5700,-0.0700
61866078,sitting,0.0212,1.0175,0.0744,0.8400,-3.5000,-0.0350
