timestamp_ms,label,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
61536021,sitting,0.9911,-0.0273,0.0461,0.9100,-3.5000,-0.0700
61536040,sitting,0.9914,-0.0276,0.0444,0.8750,-3.5700,-0.0700
61536059,sitting,0.9909,-0.0273,0.0451,0.8400,-3.4650,-0.0700
61536078,sitting,0.9906,-0.0283,0.0444,0.8400,-3.5000,-0.0700
61536098,sitting,0.9909,-0.0278,0.0454,0.8750,-3.5700,-0.0350
61536117,sitting,0.9916,-0.0273,0.0456,0.8400,-3.5700,-0.0700
61536136,sitting,0.9921,-0.0271,0.0451,0.8750,-3.5350,-0.0700
61536155,sitting,0.9919,-0.0276,0.0449,0.8400,-3.5700,-0.0700
61536175,sitting,0.9911,-0.0276,0.0461,0.8400,-3.5700,-0.0700
61536194,sitting,0.9906,-0.0276,0.0451,0.8400,-3.5000,-0.0700
61536213,sitting,0.9904,-0.0281,0.0456,0.8750,-3.5700,-0.0350
61536232,sitting,0.9909,-0.0266,0.0451,0.8750,-3.5700,-0.0700
61536252,sitting,0.9906,-0.0276,0.0454,0.8400,-3.5000,-0.0700
61536271,sitting,0.9906,-0.0281,0.0456,0.8400,-3.5000,-0.0700
61536290,sitting,0.9909,-0.0281,0.0447,0.9100,-3.5000,0.0000
61536309,sitting,0.9902,-0.0278,0.0454,0.8400,-3.5000,-0.1050
61536328,sitting,0.9911,-0.0278,0.0451,0.8400,-3.5000,-0.1050
61536348,sitting,0.9902,-0.0276,0.0451,0.8750,-3.5350,-0.0350
61536367,sitting,0.9899,-0.0276,0.0449,0.8750,-3.5700,-0.0700
61536386,sitting,0.9914,-0.0276,0.0464,0.8400,-3.5350,-0.0700
61536405,sitting,0.9906,-0.0273,0.0464,0.9100,-3.5350,-0.1050
61536425,sitting,0.9906,-0.0271,0.0449,0.9100,-3.6050,-0.0700
61536444,sitting,0.9904,-0.0271,0.0447,0.8400,-3.5000,-0.0350
61536463,sitting,0.9904,-0.0276,0.0454,0.8400,-3.5350,-0.0700
61536482,sitting,0.9899,-0.0283,0.0449,0.8750,-3.5350,-0.0700
61536502,sitting,0.9909,-0.0278,0.0461,0.8400,-3.5000,-0.0350
61536521,sitting,0.9909,-0.0281,0.0456,0.8400,-3.4650,-0.0700
61536540,sitting,0.9902,-0.0273,0.0459,0.9100,-3.5350,-0.0700
61536559,sitting,0.9911,-0.0276,0.0444,0.8400,-3.5350,-0.1050
61536578,sitting,0.9909,-0.0273,0.0442,0.8400,-3.5000,-0.1400
61536598,sitting,0.9914,-0.0273,0.0454,0.8750,-3.5350,-0.0700
61536617,sitting,0.9911,-0.0271,0.0451,0.8400,-3.5350,-0.0700
61536636,sitting,0.9902,-0.0281,0.0456,0.8050,-3.4650,-0.0700
61536655,sitting,0.9906,-0.0278,0.0456,0.8400,-3.5350,-0.0350
61536675,sitting,0.9902,-0.0276,0.0456,0.8750,-3.5350,-0.0700
61536694,sitting,0.9899,-0.0271,0.0454,0.8400,-3.5000,-0.0700
61536713,sitting,0.9914,-0.0276,0.0449,0.8400,-3.5350,-0.0700
61536732,sitting,0.9906,-0.0276,0.0459,0.8750,-3.5700,-0.0700
61536752,sitting,0.9902,-0.0276,0.0454,0.8400,-3.5000,-0.0700
61536771,sitting,0.9899,-0.0288,0.0451,0.9100,-3.5000,-0.0700
61536790,sitting,0.9911,-0.0278,0.0447,0.8750,-3.6050,-0.0700
61536809,sitting,0.9902,-0.0273,0.0466,0.8750,-3.5700,-0.0700
61536828,sitting,0.9921,-0.0273,0.0449,0.8400,-3.5350,-0.0700
61536848,sitting,0.9914,-0.0271,0.0451,0.8750,-3.5350,-0.0700
61536867,sitting,0.9914,-0.0276,0.0461,0.8750,-3.5350,-0.0700
61536886,sitting,0.9902,-0.0281,0.0454,0.8400,-3.5000,-0.1050
61536905,sitting,0.9904,-0.0273,0.0449,0.8750,-3.5350,-0.0700
61536925,sitting,0.9916,-0.0276,0.0449,0.8400,-3.6050,-0.0700
61536944,sitting,0.9911,-0.0273,0.0459,0.8400,-3.5000,-0.0700
61536963,sitting,0.9909,-0.0271,0.0461,0.8750,-3.5350,-0.0350
